Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
Risk of Second Primary Cancer in a Ten-Year Follow-Up Period Among Turkish Breast Cancer Survivors: Results from the Turkish Oncology Group Cohort,Haydar C. Yuksel ,"Izmir, Turkey","Department of Medical Oncology, Ege University Medical Faculty, Izmir 35100, Turkey.",406P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
Genomic-Guided Therapy in Sarcoma: Real-World Impact of Next-Generation Sequencing in the MENA Region,Hazem I. Assi ,"Beirut, Lebanon","Department of Internal Medicine, American University of Beirut Medical Center, Beirut, Lebanon.",2735P,Hall 25,10/20/2025,12-13:00,Poster,Sarcoma
Perioperative Pembrolizumab in Early-Stage Non-Small-Cell Lung Cancer (NSCLC): 5-Year Follow-Up From KEYNOTE-671,Heather Wakelee ,"Stanford, United States of America, CA","Department of Medicine, Stanford University School of Medicine/Stanford Cancer Institute, Stanford, CA, USA.",LBA67,Hamburg Auditorium - CityCube A,10/20/2025,15:15 - 15:20,Mini Oral Session,Non-metastatic NSCLC
Asian Real-world treatment pattern and efficacy data of neoadjuvant pembrolizumab with chemotherapy in stage II-III triple-negative breast cancer: Multicenter Data from Korea,Hee Kyung Ahn ,"Incheon, Republic of Korea","Division of Medical Oncology, Department of Internal Medicine, Gachon University Gil Medical Center, Incheon, Republic of Korea.",452eP,Hall 25,10/20/2025,12-13:00,ePoster,"Breast cancer, early stage"
Invited Discussant,Heinz Laubli ,"Basel, Switzerland","Division of Medical Oncology, University Hospital Basel, Basel, Switzerland, Laboratory of Cancer Immunotherapy, Department of Biomedicine, University of Basel and University Hospital Basel, Basel.",,Hanover Auditorium - Hall 7.2c,10/20/2025,11:15 - 11:25,Proffered Paper,Investigational immunotherapy
First-line pembrolizumab alone or with investigational agents for advanced melanoma: updated results from the phase 1/2 KEYMAKER-U02 substudy 02B,Helen Gogas ,"Athens, Greece, Attiki","First Department of Internal Medicine, Laikon General Hospital, School of Medicine, National Kapodistrian University of Athens, Athens, Greece.",1621P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Towards targeting the true driver within the 3q26-29 amplicon,Helen L. Robbins ,"Birmingham, United Kingdom","University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK.",14P,Hall 25,10/20/2025,12-13:00,Poster,Basic science
Closing remarks and farewell,Helena Ullgren ,"Solna, Sweden","Department of Oncology-Pathology & Karolinska Comprehensive Cancer Center, Solna, Sweden.",,Oldenburg Auditorium - Hall 5.1,10/20/2025,16:25 - 16:30,Eons Session,EONS closing session
Distinct Metastatic Patterns and Diagnostic Utility of CA 15-3 in Lobular Versus Ductal Breast Cancer: A Retrospective Population-Based Study,Henrik Lindman ,"Uppsala, Sweden","Department of Oncology, Uppsala University Hospital, Uppsala 751 85, Sweden.",650eP,Hall 25,10/20/2025,12-13:00,ePoster,"Breast cancer, metastatic"
Deciphering Molecular Mechanisms in RHOA-Altered Lobular Breast Cancer,Higinio Dopeso ,"New York, United States of America","Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, NY, USA.",3023eP,Hall 25,10/20/2025,12-13:00,ePoster,Tumour biology and pathology
Real-World Evidence on Safety and Effectiveness Study of Ribociclib plus Hormonal Therapy in HR+/HER2- advanced breast cancer in the Middle East: Interim Results from the REALEESA Study,Hikmat Abdel-Razeq ,"Amman, Jordan","Department of Internal Medicine, King Hussein Cancer Center, Amman, Jordan, School of Medicine, The University of Jordan. Amman, Jordan.",533P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
"Evaluation of Two Dosing Regimens, NIVO3+IPI1 or NIVO1+IPI3 in 399 Patients with Advanced Melanoma",Hildur Helgadottir ,"Solna, Sweden","Theme Cancer, Karolinska University Hospital, Stockholm, Sweden.",1620P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
SWE-NEO: Swedish NeoAdjuvant Trial Comparing anti-PD-1 Monotherapy to Combined anti-CTLA-4/anti-PD-1 blockade in Resectable Stage III Melanoma,Hildur Helgadottir ,"Solna, Sweden","Theme Cancer, Karolinska University Hospital, Stockholm, Sweden.",1685TiP,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Initial Experience with 177Lu-DOTATATE in Patients with Neuroendocrine Neoplasms: A Multicenter Retrospective Study in Japan,Hiroshi Imaoka ,"Kashiwa, Japan","Department of Hepatobiliary and Pancreatic Oncology, National Cancer Center Hospital East, Kashiwa, Japan.",1728P,Hall 25,10/20/2025,12-13:00,Poster,Neuroendocrine tumours
Clinical utility of comprehensive genomic profiling in Japanese patients with metastatic breast cancer: comparison between plasma-based panel (PBP) and tissue-based panel (TBP). A real-world study.,Hiroshi Tada ,"Sendai, Japan","Department of Breast and Endocrine Surgical Oncology, Graduate School of Medicine, Tohoku University, Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8574, Japan.",593P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Prognostic model driven by explainable AI integrating multilingual EHR data outperforms TNM staging in locally advanced HNSCC,Hisham M. Mehanna ,"Birmingham, United Kingdom","Institute of Head and Neck Studies and Education, Institute of Cancer and Genomic Sciences, College of Medical and Dental Sciences, University of Birmingham, Birmingham, UK.",1399P,Hall 25,10/20/2025,12-13:00,Poster,"Head and neck cancer, excluding thyroid"
Early detection of pancreatic cancer with a multi-omic liquid biopsy,Holly Butler ,"Glasgow, United Kingdom","Hull York Medical School, University of Hull, Hull, UK.",1740P,Hall 25,10/20/2025,12-13:00,Poster,New diagnostic tools
A multi-omic liquid biopsy for early colorectal cancer detection,Holly Butler ,"Glasgow, United Kingdom","Hull York Medical School, University of Hull, Hull, UK.",1764eP,Hall 25,10/20/2025,12-13:00,ePoster,New diagnostic tools
"Interim analysis of giredestrant (GIRE) + inavolisib (INAVO) in MORPHEUS Breast Cancer (BC): A Phase Ib/II study of GIRE treatment (rx) combinations in patients (pts) with estrogen receptor-positive (ER+), HER2-negative, locally advanced/metastatic BC (LA/mBC)",Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",508P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Capivasertib plus fulvestrant as first- and second-line endocrine-based therapy in PIK3CA/AKT1/PTEN-altered hormone receptor-positive advanced breast cancer: Subgroup analysis from the Phase 3 CAPItello-291 trial,Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",526P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
"TroFuse-011: A Phase 3, Randomized, Open-Label Study of Sacituzumab Tirumotecan (sac-TMT) +/- Pembrolizumab (Pembro) vs Treatment of Physician’s Choice (TPC) for Previously Untreated Locally Recurrent, Unresectable, or Metastatic Triple-Negative Breast Cancer (TNBC)",Hope S. Rugo ,"Los Angeles, United States of America, CA","University of California San Francisco Helen Diller Family Comprehensive Cancer Center, CA",622TiP,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Phase I trial of an IL13Ralpha2-targeted CAR-T cell therapy for recurrent malignant glioma: clinical results and pharmacokinetics,Ho-Shin Gwak ,"Goyang, Republic of Korea","Department of Cancer Biomedical Science, Graduate School of Cancer Science and Policy, National Cancer Center, Goyang, Republic of Korea.",663MO,Karlsruhe Auditorium - Hall 5.2,10/20/2025,09:05 - 09:10,Mini Oral Session,CNS tumours
Invited discussant,Hossein Borghaei ,"Philadelphia, United States of America","Department of Hematology and Oncology, Fox Chase Cancer Center, Philadelphia, PA, USA.",,Berlin Auditorium - Hub 27,10/20/2025,11:10 - 11:20,Mini Oral Session,NSCLC metastatic
"Proton versus Carbon Ion Radiotherapy in Skull Base Chordoma and Chondrosarcoma: Initial Clinical Outcomes from a Phase II Randomized Trial""",Huang Qingting ,"Shanghai, China",,656O,Karlsruhe Auditorium - Hall 5.2,10/20/2025,10:15 - 10:25,Proffered Paper,CNS tumours
The impact of Sattva model group intervention combined with comprehensive edema therapy on lower extremity lymph edema in patients with gynecological malignant tumors after,Huang Y. Jie ,"chongqi, China",,CN61,Hall 25,10/20/2025,12-13:00,Poster,Cancer Nursing: Rehabilitation and survivorship care
Clinical Efficacy and Immune Mechanism of PD-1/CTLA-4 Bispecific Antibody Cadonilimab (AK104) in Early-Stage Multiple Primary Lung Cancer (MPLC),Huawei Du ,"Shanghai, China","Department of Respiratory and Critical Care Medicine, Shanghai Chest Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",18P,Hall 25,10/20/2025,12-13:00,Poster,Basic science
"Liver resection versus continued atezolizumab plus bevacizumab (atezo/bev) in locally advanced hepatocellular carcinoma (HCC) after atezo/bev treatment (TALENTop): a multicenter, open-label, randomized phase III trial.",Hui-Chuan Sun ,"Shanghai, China","Department of Hepatobiliary Surgery and Liver Transplantation, Liver Cancer Institute, Zhongshan Hospital, Fudan University, Shanghai, China, Key Laboratory of Carcinogenesis and Cancer Invasion",1469MO,Bonn Auditorium - Hall 7.1c,10/20/2025,08:35 - 08:40,Mini Oral Session,"GI tumours, upper digestive"
A phase I/II study using cabozantinib and lanreotide as treatment for advanced gastroenteropancreatic neuroendocrine tumors that failed molecular targeted therapies or chemotherapy (SCALET): TCOG 2221 study,Hui-Jen Tsai ,"Tainan City, Taiwan","Department of Oncology, National Cheng Kung University Hospital, College of Medicine, National Cheng Kung University, Tainan, Taiwan.",1714P,Hall 25,10/20/2025,12-13:00,Poster,Neuroendocrine tumours
The Genetic Aberrations of Advanced Thyroid Cancers in Taiwan: Taiwan Cooperative Oncology Group T2322 study,Hui-Jen Tsai ,"Tainan City, Taiwan","Department of Oncology, National Cheng Kung University Hospital, College of Medicine, National Cheng Kung University, Tainan, Taiwan.",3006eP,Hall 25,10/20/2025,12-13:00,ePoster,Thyroid cancer
Noninvasive malignancy risk assessment of pulmonary nodules via imaging and cfDNA-informed machine learning,Huiting Wang ,"Guangzhou, China","Department of Clinical Medicine, School of Medical, Wuhan University of Science and Technology, Wuhan 430065, China.",1761eP,Hall 25,10/20/2025,12-13:00,ePoster,New diagnostic tools
Pre-operative axillary staging in breast cancer; implications & outcome,Huma Irshad ,"Daresbury/ Warrington, United Kingdom",,428eP,Hall 25,10/20/2025,12-13:00,ePoster,"Breast cancer, early stage"
Exosomal miRNA-Based Classification of Breast Cancer Subtypes in Patients Unsuitable for Tissue Biopsy,Humaid O. Al-Shamsi ,"Abu Dhabi, United Arab Emirates","Burjeel Cancer Institute, Burjeel Medical City, Abu Dhabi P.O. Box 92510",151P,Hall 25,10/20/2025,12-13:00,Poster,Biomarkers & translational research (agnostic)
Characterization of tumor and peripheral biomarkers in patients (pts) with resectable melanoma (MEL) treated with adjuvant nivolumab + relatlimab (NIVO + RELA) or NIVO alone in RELATIVITY-098,Hussein A. Tawbi ,"Houston, United States of America","Department of Melanoma Medical Oncology, The University of Texas Anderson Cancer Center, Houston, TX, USA.",1612P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Pooled outcomes with first-line nivolumab + relatlimab (NIVO + RELA) in patients (pts) with advanced melanoma (MEL),Hussein A. Tawbi ,"Houston, United States of America","Department of Melanoma Medical Oncology, The University of Texas Anderson Cancer Center, Houston, TX, USA.",1619P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Early-onset gastrointestinal cancer (EOGIC) in Spain: preliminary analysis of the prospective TEOGIC study,Ibone Labiano ,"Pamplona-Iruna, Spain","Department of Liver and Gastrointestinal Diseases, Biodonostia Health Research Institute, Donostia University Hospital, Spain.",169P,Hall 25,10/20/2025,12-13:00,Poster,Biomarkers & translational research (agnostic)
Prognostic Factors Influencing Survival in Triple-Negative Breast Cancer: Insights from SEER Database Analysis,Ibrahim I. Hassan ,"Ismailia, Egypt","Faculty of Medicine, Suez Canal, Egypt.",568P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, metastatic"
Exploring circulating MDSC role in immune-related adverse events (irAEs) in early triple negative breast cancer (eTNBC): a preliminary analysis from the IRIS study.,Ida Taglialatela ,"Vercelli, Italy","Division of Medical Oncology, Maggiore University Hospital, Italy.",311P,Hall 25,10/20/2025,12-13:00,Poster,"Breast cancer, early stage"
"Long-term follow-up GDFATHER-01 trial: GDF-15 neutralization combined with nivolumab can enable deep, long-term remission in heavily pretreated, anti-PD1/-L1 relapsed/refractory non-squamous non-small cell lung cancer (NSCLC), urothelial cancer (UC) and hepatocellular cancer (HCC)",Ignacio Melero ,"Pamplona, Spain","Navarra Institute for Health Research (IDISNA), Pamplona, Spain.",1513O,Hanover Auditorium - Hall 7.2c,10/20/2025,10:55 - 11:05,Proffered Paper,Investigational immunotherapy
"Pembrolizumab plus chemotherapy (PEM + CT) versus pembrolizumab (PEM) as first-line therapy for advanced NSCLC with PD-L1 tumor proportion score (TPS) >=50%: Open-label, phase 3, randomized trial (PAULIEN)",Ilias Houda ,"Amsterdam, Netherlands","Department of Pulmonary Medicine, Amsterdam UMC, VU Medical Center, Amsterdam, the Netherlands.",1851MO,Berlin Auditorium - Hub 27,10/20/2025,11:00 - 11:05,Mini Oral Session,NSCLC metastatic
Decades of Glioblastoma Incidence and Survival: A Retrospective SEER Cohort Analysis from 1975 to 2022 with a Focus on Racial Disparities and Stage-Specific Outcomes,Imran Khan ,"Brooklyn, USA","Department of Biochemistry and Molecular Biology, University of Nebraska Medical Center, Omaha, NE, USA.",717eP,Hall 25,10/20/2025,12-13:00,ePoster,CNS tumours
Health-Related Quality of Life (HRQoL) from the PATINA Trial (AFT-38): Impact of Adding Palbociclib to HER2 and Endocrine Therapy (ET) after Induction in HR+/HER2+ Metastatic Breast Cancer (MBC),Ines V. Vaz-Luis ,"Villejuif, France","Interdisciplinary Department for the Organization of Patient Pathways (DIOPP), Gustave Roussy, Villejuif, France.",485MO,Munich Auditorium - CityCube B,10/20/2025,10:20 - 10:25,Mini Oral Session,"Breast cancer, metastatic"
Digital health and PROs: Is it helpful in young adult survivors?,Ines V. Vaz-Luis ,"Villejuif, France","Interdisciplinary Department for the Organization of Patient Pathways (DIOPP), Gustave Roussy, Villejuif, France.",,Flensburg Auditorium - Hall 23,10/20/2025,11:10 - 11:25,Special Session,Long-term toxicities in young adults with cancer
CRISPR-PD1 modified tumor infiltrating lymphocytes for adoptive therapy for patients with metastatic melanoma.,Inge Marie Svane ,"Herlev, Denmark","National Center for Cancer Immune Therapy, Department of Oncology, Copenhagen University Hospital, Herlev, Denmark.",1653P,Hall 25,10/20/2025,12-13:00,Poster,Melanoma and other skin tumours
Trends and Efficacy of Definitive Radiotherapy Regimens for Locally Advanced Head and Neck Cancer in Elderly Patients: A Population-Based Analysis by the German Cancer Registry Group,Ingeborg Tinhofer-Keilholz ,"Berlin, Germany","Department of Radiooncology and Radiotherapy, Charite University Hospital, Berlin, Germany.",1336P,Hall 25,10/20/2025,12-13:00,Poster,"Head and neck cancer, excluding thyroid"
